id,year,title,enumeration,imprint,autolangname,autogcode,dictlangname,gcode,duplicate,volume,newlangname,newlangnamelink,delete,subclass,review_flag,review_note,sjd,tk
inu.30000124823950,2006,Aadaa Boraanaa : a dictionary of Borana culture / by Ton Leus with Cynthia Salvadori ; illustrated by Cynthia Salvadori.,NA,"Shama Books, 2006.",Borana,bora1272,Boraanaa,bora1271,NA,NA,Borana-Arsi-Guji Oromo,https://glottolog.org/resource/reference/id/129192,NA,x-english (and english-x),NA,NA,NA,1
mdp.39015029444596,1992,Aḋṅa-mat̂-n̂a-English dictionary / John McEntee and Pearl McKenzie.,NA,"[J.C. McEntee], 1992.",Pear,pear1247,Aḋṅa-mat̂-n̂a,adny1235,NA,NA,Adnyamathanha,https://collection.aiatsis.gov.au/austlang/language/l10,NA,x-english (and english-x),NA,NA,1,NA
mdp.39015073865126,2006,A Baba Malay dictionary : the first comprehensive compendium of Straits Chinese terms and expressions / William Gwee Thian Hock.,NA,"Tuttle Publishing, 2006.",Baba Malay,baba1267,Baba Malay,baba1267,NA,NA,NA,NA,NA,x-english (and english-x),NA,NA,NA,1
mdp.39015041293906,1992,"A Badaga-English dictionary / by Paul Hockings, Christiane Pilot-Raichoor; forward by Murray B. Emeneau.",NA,"Mouton de Gruyter, 1992.",Badaga,bada1257,Badaga,bada1257,NA,NA,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
mdp.39015008988969,1979,A Balinese-English dictionary / by C. Clyde Barber.,v.1,"University of Aberdeen, 1979.",Balinese,bali1278,Balinese,bali1278,NA,mdp.39015008988969,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
mdp.39015008988977,1979,A Balinese-English dictionary / by C. Clyde Barber.,v.2,"University of Aberdeen, 1979.",Balinese,bali1278,Balinese,bali1278,NA,mdp.39015008988969,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
mdp.39015059980865,2003,A Bantawa dictionary / by Werner Winter.,NA,"Mouton de Gruyter, 2003.",Bantawa,bant1281,Bantawa,bant1281,NA,NA,NA,NA,NA,x-english (and english-x),NA,NA,NA,1
uva.x000310112,1975,"A basic English-French contextual dictionary / compiled and edited by John H. Brueckner ; French language consultants, Gérard Karcher ... [et al.].",NA,"Prentice-Hall, [1975]",French,stan1290,French,stan1290,NA,NA,NA,NA,NA,english-x,NA,NA,1,NA
mdp.39015020745140,1975,A basic English-Shona dictionary / Desmond Dale.,NA,"Mambo Press, 1975",Shona (S.10):Shona,shon1250:shon1251,Shona,shon1251,mdp.39015020745140,NA,NA,NA,NA,english-x,NA,NA,1,NA
uc1.31158003003034,1887,Abcarius' abridged English and Arabic dictionary / Yuḥannā Abkāriyūs.,NA,"s.n., 1887]",Arabic,arab1395,Arabic,stan1318,NA,NA,NA,NA,NA,english-x,NA,changed to standard arabic to be consistent,1,1
mdp.39015034918170,9999,A B C : beginnerś Agarabi-English dictionary / compiled by Jean Goddard & Lorna Luff ; ill. by Jean Goddard.,pt.1,"Summer Institute of Linguistics, 1988.",Agarabi,agar1252,Agarabi,agar1252,NA,NA,NA,NA,NA,x-english (and english-x),NA,NA,NA,1
uiug.30112070620312,2003,ABC Chinese-English comprehensive dictionary : alphabetically based computerized / editor John DeFrancis ; associate editors Tom Bishop ... [et. al].,NA,"University of Hawai'i Press, 2003.",Chi,chii1238,Chinese,mand1415,uiug.30112070620312,NA,NA,NA,NA,x-english (and english-x),NA,NA,NA,1
uc1.b000495538,1949,"A.B.C. Japanese-English dictionary. An entirely new method of classification of the Chinese-Japanese characters, by Oreste Vaccari and Enko Elisa Vaccari.",v. 1,"O. Vaccari; sold by the publisher and Brentano's, New York [c1949]",Japanese,nucl1643,Japanese,nucl1643,uc1.b000495538,uc1.b000495538,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
uc1.31822006883565,1949,"A. B. C. Japanese-English dictionary : an entirely new method of classification of the Chinese-Japanese characters / by Oreste Vaccari and Enko Elisa Vaccari = Ē-B̄-Shī-shiki Kan-Wa-Ei daijiten,A. B. C. Japanese-English dictionary : an entirely new method of cla ssification of the Chinese-Japanese characters / by Oreste Vaccari and Enko Elisa Vaccari = エービーシー式漢和英 大辭典",v.2,"Oreste Vaccari : Eibunpō Tsūron Hakkōjo ; Sold by Brentano's, c1949, Oreste Vaccari : 英文法通論發行所 ; Sold by Brentano's, c1949",Japanese,nucl1643,Japanese,nucl1643,uc1.b000495538,uc1.b000495538,NA,NA,NA,x-english (and english-x),NA,NA,NA,1
mdp.39015067817695,2006,"ABC Oxford practical dictionary : English into English and Urdu / compiled by M. Raza-ul-Haq Badakhshani, M. Saqlain Bhatti.",NA,"ABC Pub. House, 2006.",Badakhshan,bada1264,Urdu,urdu1245,NA,NA,NA,NA,NA,english-x,NA,NA,1,NA
uc1.b4209364,1996,"Śabdaratnākaramu : saṅkṣiptaṃ, Telugu-Telugu nighaṇṭuvu / saṅkalanaṃ, Bi. Sītārāmācāryulu = Sitaramacharyulu's Sabda ratnakaram : abridged, a dictionary of the Telugu language / compiled by B. Sitaramacharyulu.",NA,"Asian Educational Services, 1996.",Telugu,telu1262,Telugu,telu1262,NA,NA,NA,NA,NA,x-english (and english-x),NA,NA,NA,1
mdp.39015061543255,2002,"Śabda-sāgara, or, A comprehensive Sanskrit-English lexicon : chiefly based on Professor Horace Hayman Wilson's Sanskrit-English dictionary and compiled from various recent authorities for the use of schools and colleges / by Jibananda Vidyasagara.",NA,"Chowkhamba Sanskrit Series Office, 2002.",Sanskrit,sans1269,Sanskrit,sans1269,NA,NA,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
inu.32000002813659,1958,A Beginners' Chinese-English dictionary of the national language (Gwoyeu) / by W. Simon.,NA,"Percy Lund, Humphries, 1958.",Chi,chii1238,Chinese,mand1415,NA,NA,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
mdp.39015068373581,1968,A Bonda dictionary.,NA,[Deccan College Postgraduate and Research Institute] 1968.,Bon,bonn1241,Bonda,bond1245,NA,NA,Bondo,https://en.wikipedia.org/wiki/Bonda_language,NA,x-english (and english-x),NA,NA,NA,1
uiug.30112065518554,1951,Abridged edition of the student's English - Burmese dictionary / by Tun Nyein.,NA,"Aye Printing Press, 1951.",Burmese,nucl1310,Burmese,nucl1310,NA,NA,NA,NA,NA,english-x,NA,NA,1,NA
uva.x000832923,1980,"Abuan-English, English-Abuan dictionary / compiled by Ian Gardner.",NA,"University of Port Harcourt : Nigeria Bible Translation Trust, 1980.",Abua,abua1244,Abuan,abua1244,NA,NA,Abua,https://glottolog.org/resource/reference/id/109744,NA,x-english (and english-x),NA,NA,1,NA
mdp.39015046004522,9999,"A Burmese-English dictionary; compiled by J. A. Stewart and C. W. Dunn, from material supplied by a large number of contributors.",pt.1,Published under the auspices of the University of Rangoon [by Luzac] 1940-,Burmese,nucl1310,Burmese,nucl1310,mdp.39015046004522,mdp.39015046004522,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
mdp.39015046004514,9999,"A Burmese-English dictionary; compiled by J. A. Stewart and C. W. Dunn, from material supplied by a large number of contributors.",pt.2,Published under the auspices of the University of Rangoon [by Luzac] 1940-,Burmese,nucl1310,Burmese,nucl1310,mdp.39015046004522,mdp.39015046004522,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
mdp.39015046004506,9999,"A Burmese-English dictionary; compiled by J. A. Stewart and C. W. Dunn, from material supplied by a large number of contributors.",pt.3,Published under the auspices of the University of Rangoon [by Luzac] 1940-,Burmese,nucl1310,Burmese,nucl1310,mdp.39015046004522,mdp.39015046004522,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
mdp.39015046003896,9999,"A Burmese-English dictionary; compiled by J. A. Stewart and C. W. Dunn, from material supplied by a large number of contributors.",pt.4,Published under the auspices of the University of Rangoon [by Luzac] 1940-,Burmese,nucl1310,Burmese,nucl1310,mdp.39015046004522,mdp.39015046004522,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
mdp.39015046003888,9999,"A Burmese-English dictionary; compiled by J. A. Stewart and C. W. Dunn, from material supplied by a large number of contributors.",pt.5,Published under the auspices of the University of Rangoon [by Luzac] 1940-,Burmese,nucl1310,Burmese,nucl1310,mdp.39015046004522,mdp.39015046004522,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
mdp.39015046003870,9999,"A Burmese-English dictionary; compiled by J. A. Stewart and C. W. Dunn, from material supplied by a large number of contributors.",pt.6,Published under the auspices of the University of Rangoon [by Luzac] 1940-,Burmese,nucl1310,Burmese,nucl1310,mdp.39015046004522,mdp.39015046004522,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
inu.30000054513407,1995,"Abwaan Cusub oo Af-Soomaali iyo Af-Ingiriisiya = A modern Somali-English dictionary / Abdirahman A. Farah ""Barwaaqo.""",NA,"A.A. Farah, c1995.",Somali,soma1255,Somali,soma1255,NA,NA,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
mdp.39015071199619,1907,A Cheap and concise dictionary of the Ojibway and English languages / compiled and abridged from larger editions by English and French authors.,pt.1,"International Colportage Mission, 1903-1907.",Ojibwa,ojib1241,Ojibway,nort2961,mdp.39015071199619,mdp.39015071199619,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
mdp.39015071199627,1907,A Cheap and concise dictionary of the Ojibway and English languages / compiled and abridged from larger editions by English and French authors.,pt.2,"International Colportage Mission, 1903-1907.",Ojibwa,ojib1241,Ojibway,nort2961,mdp.39015071199619,mdp.39015071199619,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
uc2.ark:/13960/t6sx6kj0c,1907,A Chinese and English dictionary : arranged according to radicals and sub-radicals / by P. Poletti.,NA,"Printed at the American Presbyterian Mission Press, 1907.",Chi,chii1238,Chinese,mand1415,uc2.ark:/13960/t6sx6kj0c,NA,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
hvd.32044036315430,1874,A Chinese and English pocket dictionary.,NA,"Kelly & co.; [etc., etc.] 1874.",Chi,chii1238,Chinese,mand1415,NA,NA,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
umn.319510010278551,1964,A Chinese-English dictionary.,v. 1,"Paragon Book Reprint Corp., 1964.",Chi,chii1238,Chinese,mand1415,umn.319510010278551,umn.319510010278551,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
umn.31951001027856z,1964,A Chinese-English dictionary.,v. 2,"Paragon Book Reprint Corp., 1964.",Chi,chii1238,Chinese,mand1415,umn.319510010278551,umn.319510010278551,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
uc1.$c135241,1912,A Chinese-English dictionary / by Herbert A. Giles.,v. 2,"Kelly & Walsh, Lmtd., 1912.",Chi,chii1238,Chinese,mand1415,uc1.$c135241,uc1.$c135241,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
uc1.$c135242,1912,A Chinese-English dictionary / by Herbert A. Giles.,v. 3,"Kelly & Walsh, Lmtd., 1912.",Chi,chii1238,Chinese,mand1415,uc1.$c135241,uc1.$c135241,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
uc1.$c135243,1912,A Chinese-English dictionary / by Herbert A. Giles.,v. 4,"Kelly & Walsh, Lmtd., 1912.",Chi,chii1238,Chinese,mand1415,uc1.$c135241,uc1.$c135241,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
nnc1.cu15915123,1912,A Chinese-English Dictionary / by Herbert A. Giles.,v.1,"B. Quaritch, 1912.",Chi,chii1238,Chinese,mand1415,uc1.$c135241,uc1.$c135241,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
mdp.39015066421978,1970,"A Chinese-English dictionary. : Hakka-dialect as spoken in Kwang-tung province / Prepared by D. Maciver, M.A. Revised by M.C. Mackenzie.,客英大字典. Hakka-dialect as spoken in Kwang-tung province. Prepared by D. Maciver, M.A. Revised by M.C. Mackenzie.",NA,"[Ku-tʻing Book Store], [1970], [古亭書屋] [1970]",Kwang,kwan1285,Hakka,hakk1236,NA,NA,Hakka Chinese,https://en.wikipedia.org/wiki/Hakka_Chinese,NA,x-english (and english-x),NA,NA,NA,1
mdp.39015056220158,2001,A Chinese-English dictionary in the Cantonese dialect / Ernest John Eitel ; with an introduction by Kingsley Bolton.,v.1,"Ganesha, 2001.",Cantonese,cant1236,Cantonese,yuec1235,mdp.39015056220158,mdp.39015056220158,Yue Chinese,https://glottolog.org/resource/reference/id/578640,NA,x-english (and english-x),NA,NA,1,1
mdp.39015056220141,2001,A Chinese-English dictionary in the Cantonese dialect / Ernest John Eitel ; with an introduction by Kingsley Bolton.,v.2,"Ganesha, 2001.",Cantonese,cant1236,Cantonese,yuec1235,mdp.39015056220158,mdp.39015056220158,Yue Chinese,https://glottolog.org/resource/reference/id/578640,NA,x-english (and english-x),NA,NA,1,1
mdp.39015040030879,1991,"A Chinese-English dictionary of the Wu dialect : featuring the dialect of the city of Shanghai / [Thomas Creamer, editor in chief ... [et al.].",NA,"Dunwoody Press, 1991.",Shang,shan1278,Wu Chinese,wuch1236,NA,NA,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
hvd.32044100017367,1828,A companion to Johnson's Dictionary in English and Bengalee. To which is prefixed an introduction to the Bengalee language. Adapted for the use of both native and European students. Vol. II. By John Mendies ...,v.2,"Printed at the Serampore press, 1828.",Benga,beng1282,Bengalee,beng1280,NA,NA,Bengali,https://en.wiktionary.org/wiki/Bengalee,NA,english-x,NA,checked the dictionary and decided to keep,1,NA
uva.x001255857,1986,"A comparative dictionary of Orokolo, Gulf of Papua / by Herbert A. Brown ; with line illustrations by the author.",NA,"Dept. of Linguistics, Research School of Pacific Studies, Australian National University, 1986.",Orokolo,orok1267,Orokolo,orok1267,NA,NA,NA,NA,NA,x-english (and english-x),NA,NA,NA,1
mdp.39015023996708,1981,A comparative dictionary of Tagalog / by Franz Carl Alter ; translated by Marlies Spiecker-Salazar ; edited by Ernesto Constantino.,NA,"Cecilio Lopez Archives of Philippine Languages, 1981.",Tagalog,taga1270,Tagalog,taga1270,NA,NA,NA,NA,NA,x-english (and english-x),NA,NA,NA,1
hvd.hx6hct,1889,"A Comparative dictionary of the Bihārī language, compiled by A. F. Rudolf Hoernle and George A. Grierson.",NA,"Bengal Secretariat Press; sold by Trübner, London, 1885-1889.",Bih,biha1246,Bihārī,mait1250,NA,NA,Maithili,https://glottolog.org/resource/reference/id/310902,NA,x-english (and english-x),NA,NA,NA,1
hvd.hwjlh5,1830,"A comparative dictionary of the German and English languages, arranged, on a new system, for the purpose of facilitating the student in the acquirement of the German tongue, by H. Berthold ...",NA,"W. Joy, 1830.",German,stan1295,German,stan1295,NA,NA,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
uc1.c083960613,1920,A comparative dictionary of the Pwo-Karen dialect : English-Pwo-Karen / compiled by W.C.B. Purser and Saya Tun Aung.,NA,"American Baptist Mission Press, 1920.",Karen,bila1257,Pwo-Karen,paok1235,NA,NA,Pa'o Karen,https://glottolog.org/resource/reference/id/581524,NA,english-x,NA,NA,1,NA
uva.x000077475,1979,A comparative dictionary of the Tahitian language : Tahitian-English with an English-Tahitian finding list / by Edmund Andrews and Irene D. Andrews.,NA,"AMS Press, 1979.",Tahitian,tahi1242,Tahitian,tahi1242,uva.x000077475,NA,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
hvd.hwsi9b,1874,"A compendious dictionary of the French language (French, English:- English-French). Followed by a list of the principal diverging derivations, and preceded by chronological and historical tables.",NA,1874,French,stan1290,French,stan1290,hvd.hwsi9b,NA,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
loc.ark:/13960/t42r5361d,1814,A compendious dictionary of the Latin tongue : for the use of schools / by Alexander Adam.,NA,"Printed by C. Stewart, 1814.",Latin,lati1261,Latin,lati1261,loc.ark:/13960/t42r5361d,NA,NA,NA,NA,x-english (and english-x),NA,NA,NA,1
uva.x004349906,1998,A compendious English Tamil dictionary : a handbook of the Tamil language / G.U. Pope.,NA,"Asian Educational Services, 1998.",Tamil,tami1289,Tamil,tami1289,NA,NA,NA,NA,NA,english-x,NA,NA,NA,1
mdp.39015019084147,1877,"A compendious German and English dictionary,",NA,H. Holt and company [etc.] [1877],German,stan1295,German,stan1295,NA,NA,NA,NA,NA,x-english (and english-x),NA,NA,NA,1
coo1.ark:/13960/t23b6kx7h,1882,"A compendious German and English dictionary : German-English, English-German : with notation of correspondences and brief etymologies / by William Dwight Whitney, assisted by August Hjalmar Edgren.",NA,"Macmillan, 1882.",German,stan1295,German,stan1295,NA,NA,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
uc1.c042147711,1915,"A compendious German and English dictionary, with notation of correspondences and brief etymologies, by William Dwight Whitney, assisted by August Hjalmar Edgren.",NA,H. Holt c1915.,German,stan1295,German,stan1295,NA,NA,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
uc1.l0079145322,1994,A compendious Syriac dictionary : founded upon the Thesaurus Syriacus of R. Payne Smith / edited by J. Payne Smith.,NA,"Clarendon Press, 1994.",The,thee1240,Syriac,clas1252,uc1.l0079145322,NA,NA,NA,NA,x-english (and english-x),NA,NA,NA,1
uc1.c040941012,1890,"A compendium of Molesworth's Marathi and English dictionary, by Baba Padmanji.",NA,"Education Society's Press, 1890.",Marathi,mara1378,Marathi,mara1378,NA,NA,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
mdp.39015014855962,1802,"A compleat English-German, German-English dictionary : Vollständiges Englisch-Deutsches und Deutsch-Englisches Lexicon.",v.1,"J. J. Palm, 1802.",German,stan1295,German,stan1295,NA,mdp.39015014855962,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
mdp.39015014855970,1802,"A compleat English-German, German-English dictionary : Vollständiges Englisch-Deutsches und Deutsch-Englisches Lexicon.",v.2,"J. J. Palm, 1802.",German,stan1295,German,stan1295,NA,mdp.39015014855962,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
uc1.l0085268639,1937,A complete Chinese-English dictionary / by O. Z. Tsang.,NA,"Republican Press, 1929.",Tsang,gtsa1238,Chinese,mand1415,uc1.l0085268639,NA,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
hvd.hxnx4d,1851,"A complete dictionary English and Polish and Polish and English, comp. from the dictionaries of Johnson, Webster, Walker, Fleming and Tibbins, etc. from the Polish lexicon of Linde and the Polish German dictionary of Mrongovius ...",v.2,"B. Behr; Barthès and Lowell; [etc., etc.] 1849-51.",Polish,poli1260,Polish,poli1260,NA,NA,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
mdp.39015069199316,2003,"A complete dictionary of the Avesta language, in Guzerati and English / Kavasji Edalji Kanga.",NA,"K.R. Cama Oriental Institute, 2003.",Kanga,kang1288,Avesta,aves1237,mdp.39015069199316,NA,Avestan,https://onlinebooks.library.upenn.edu/webbin/book/lookupid?key=ha100681665,NA,x-english (and english-x),NA,NA,NA,1
hvd.hwsh8t,1847,A complete dictionary of the English and German and German and English languages ...,2,"Liebeskind, 1847.",German,stan1295,German,stan1295,hvd.hwsh8t,NA,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
hvd.hwsfxr,1871,A complete English-Latin and Latin-English dictionary. Chiefly from the German New ed.,NA,1870-71.,German,stan1295,Latin,lati1261,hvd.hwsfxr,NA,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
hvd.hwmjz8,1846,A complete Hebrew and English critical and pronouncing dictionary.,NA,[s.n.] 1846.,NA,NA,Hebrew,hebr1245,NA,NA,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
uc1.31378007584249,1903,A complete Latin-English and English-Latin dictionary for the use of junior students.,NA,"Longmans, Green, 1903.",Latin,lati1261,Latin,lati1261,NA,NA,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
uc1.31158001453603,1836,"A complete Latin-English dictionary, for the use of colleges and schools: chiefly from the German. By the Rev. J.E. Riddle ...",NA,"Longman, Brown, Green, and Longmans [etc.], 1836.",German,stan1295,Latin,lati1261,NA,NA,NA,NA,NA,x-english (and english-x),NA,NA,NA,1
uc2.ark:/13960/t9m33309m,1814,A complete pocket dictionary of the English and German languages / by W. Render.,NA,"Sherwood, Neely, and Jones, 1814.",German,stan1295,German,stan1295,NA,NA,NA,NA,NA,english-x,NA,NA,1,NA
uva.x001168071,1949,"A complete pronouncing dictionary of the English and Bohemian languages for general use, by Charles Jonas. Úplný slovník anglicko-českýpro obecnou potřebu. S dokonalou anglickou výslovností. Sepsal Karel Jonáš.",NA,"F. Pancner, 1949]",Kare (Papua New Guinea):Kare (Central African Republic),kare1341:kare1338,Bohemian,czec1258,uva.x001168071,NA,Czech,https://en.wikipedia.org/wiki/Czech_language,NA,english-x,NA,NA,1,NA
uc1.$b602376,1919,"A complete pronouncing dictionary of the English and Slovene languages for general use, by F.J. Kern = Popoln angleško-slovenski besednjak z angleško izgovarjavo, spisal F.J. Kern.",NA,Tisk Ameriške domovine [c1919],NA,NA,Slovenian,slov1268,NA,NA,NA,NA,NA,english-x,NA,NA,1,NA
uc1.$b639758,1908,A comprehensive Anglo-Siamese dictionary.,v.1,"Bangkolem press, 1899-1908.",Siamese,siam1241,Siamese,thai1261,uc1.$b639758,uc1.$b639758,Thai,https://glottolog.org/resource/reference/id/147448,NA,english-x,NA,NA,NA,1
uc1.$b639759,1908,A comprehensive Anglo-Siamese dictionary.,v.2,"Bangkolem press, 1899-1908.",Siamese,siam1241,Siamese,thai1261,uc1.$b639758,uc1.$b639758,Thai,https://glottolog.org/resource/reference/id/147448,NA,english-x,NA,NA,NA,1
uc1.$b639760,1908,A comprehensive Anglo-Siamese dictionary.,v.3,"Bangkolem press, 1899-1908.",Siamese,siam1241,Siamese,thai1261,uc1.$b639758,uc1.$b639758,Thai,https://glottolog.org/resource/reference/id/147448,NA,english-x,NA,NA,NA,1
uc1.$b639761,1908,A comprehensive Anglo-Siamese dictionary.,v.4,"Bangkolem press, 1899-1908.",Siamese,siam1241,Siamese,thai1261,uc1.$b639758,uc1.$b639758,Thai,https://glottolog.org/resource/reference/id/147448,NA,english-x,NA,NA,NA,1
uc1.$b639762,1908,A comprehensive Anglo-Siamese dictionary.,v.5,"Bangkolem press, 1899-1908.",Siamese,siam1241,Siamese,thai1261,uc1.$b639758,uc1.$b639758,Thai,https://glottolog.org/resource/reference/id/147448,NA,english-x,NA,NA,NA,1
mdp.39015055152618,1937,A comprehensive Bengali and English dictionary.,NA,1937,Bengali,beng1280,Bengali,beng1280,NA,NA,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
mdp.39015013975803,1950,"A comprehensive dictionary, Armenian-English.",NA,Sahag-Mesrob Press [pref. 1950],NA,NA,Armenian,nucl1235,NA,NA,NA,NA,NA,x-english (and english-x),NA,choice: Western vs. Eastern; book by this name and publication date appears in Eastern glotto,1,1
uc2.ark:/13960/t4bp02d3j,1870,"A comprehensive dictionary, English and Marathi.",NA,"Printed at the Education Society's Press, 1870.",Marathi,mara1378,Marathi,mara1378,NA,NA,NA,NA,NA,english-x,NA,NA,1,NA
mdp.39015046459825,1961,"A comprehensive dictionary, English-Armenian, by Mesrob G. Kouyoumdjian.",NA,Sahag-Mesrob Press [1961],Kou,sins1241,Armenian,nucl1235,NA,NA,NA,NA,NA,english-x,NA,NA,1,1
mdp.39015069452590,1923,"A comprehensive English-Oriya dictionary, by J.G. Pike and Gordon S. Wilkins.",v.1,"Orissa Mission Press, 1916-1923.",Gor,gorr1238,Oriya,oriy1255,NA,mdp.39015069452590,NA,NA,NA,english-x,NA,resolved,1,1
mdp.39015069452434,1923,"A comprehensive English-Oriya dictionary, by J.G. Pike and Gordon S. Wilkins.",v.2,"Orissa Mission Press, 1916-1923.",Gor,gorr1238,Oriya,oriy1255,NA,mdp.39015069452590,NA,NA,NA,english-x,NA,resolved,1,1
mdp.39015064308425,2006,A comprehensive Georgian-English dictionary / editors: Donald Rayfield (editor-in-chief) ... [et al.].,v.1,"Garnett Press, 2006.",Georgian,nucl1302,Georgian,nucl1302,NA,mdp.39015064308425,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
mdp.39015064308433,2006,A comprehensive Georgian-English dictionary / editors: Donald Rayfield (editor-in-chief) ... [et al.].,v.2,"Garnett Press, 2006.",Georgian,nucl1302,Georgian,nucl1302,NA,mdp.39015064308425,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
mdp.39015016641832,1957,"[A comprehensive Persian-English dictionary, including the Arabic words and phrases to be met with in Persian literature / being Johnson and Richardson's Persian, Arabic, and English dictionary revised, enlarged, and entirely reconstructed].",NA,"Routledge & K. Paul, [1957]",Arabic,arab1395,Persian,west2369,NA,NA,NA,NA,NA,x-english (and english-x),NA,resolved,1,1
umn.31951d007712346,1975,"A comprehensive Persian-English dictionary : including the Arabic words and phrases to be met with in Persian literature ; being Johnson and Richardson's Persian, Arabic, and English dictionary, revised, enlarged and entirely reconstructed / by F. Steingass.",NA,"Librarie du Liban, 1975.",Arabic,arab1395,Persian,west2369,NA,NA,NA,NA,NA,x-english (and english-x),NA,resolved,1,1
mdp.39015066578827,1966,A concise Anglo-Saxon dictionary / by John R. Clark Hall.,NA,"University Press, 1966.",NA,NA,Anglo-Saxon,olde1238,mdp.39015066578827,NA,Old English (ca. 450-1100),https://glottolog.org/resource/reference/id/403989,NA,ancient language,NA,NA,NA,1
mdp.39015030390440,1883,"A concise dictionary, English-Persian; together with a simplified grammar of the Persian language. By ... E. H. Palmer ... Completed and edited from the ms. left imperfect at his death, by G. Le Strange.",NA,"Trübner & co., 1883.",Pal:Palù,pall1244:palu1250,Persian,west2369,NA,NA,NA,NA,NA,english-x,NA,resolved,1,1
mdp.39015047560134,1999,"A concise dictionary of Akkadian / edited by Jeremy Black, Andrew George, Nicholas Postgate ; with the assistance of Tina Breckwoldt ... [et al.].",NA,"Harrassowitz, 1999.",Akkadian,akka1240,Akkadian,akka1240,NA,NA,NA,NA,NA,x-english (and english-x),NA,NA,NA,1
uva.x000212075,1964,A concise dictionary of Middle Egyptian / by Raymond O. Faulkner.,NA,"Printed for the Griffith Institute at the University Press, 1964, c1962.",Middle Egyptian,midd1369,Middle Egyptian,egyp1246,NA,NA,Egyptian (Ancient),https://glottolog.org/resource/languoid/id/midd1369,NA,ancient language,NA,NA,NA,1
mdp.39015037813410,1952,"A concise dictionary of old Icelandic, by Geir T. Zoëga.",NA,The Clarendon Press [1952].,Icelandic,icel1247,Old Icelandic,oldn1244,mdp.39015037813410,NA,Old Norse,https://glottolog.org/resource/reference/id/44010,NA,ancient language,NA,NA,NA,1
uc1.c042849419,1905,A concise dictionary of the Assyrian language by W. Muss-Arnolt.,v.1,"Reuther & Reichard; Lemcke & Büchner, 1905.",Assyrian,assy1242,Assyrian,assy1241,uc1.c042849419,uc1.c042849419,NA,NA,NA,x-english (and english-x),NA,NA,NA,1
uc1.c042857510,1905,A concise dictionary of the Assyrian language by W. Muss-Arnolt.,v.2,"Reuther & Reichard; Lemcke & Büchner, 1905.",Assyrian,assy1242,Assyrian,assy1241,uc1.c042849419,uc1.c042849419,NA,NA,NA,x-english (and english-x),NA,NA,NA,1
uc1.b3118087,1937,A concise dictionary of the Bini language of southern Nigeria / by Hans Melzian.,NA,"K. Paul, Trench, Trubner & Co., 1937.",Bini:Bini (Anyin),bini1246:bini1245,Bini,bini1246,NA,NA,NA,NA,NA,x-english (and english-x),NA,NA,NA,1
inu.30000003147505,1953,A concise dictionary of the English and Hungarian languages.,pt.1,Franklin [1948?]-1953.,Hungarian,hung1274,Hungarian,hung1274,NA,NA,NA,NA,NA,english-x,NA,NA,1,NA
hvd.hwshk9,1895,A concise dictionary of the English and modern Greek languages : as actually written and spoken : English-Greek / by A. N. Jannaris.,NA,"J. Murray, 1895.",Greek,gree1276,Greek,mode1248,NA,NA,NA,NA,NA,english-x,NA,NA,1,NA
