Single words occurring three times or more in the
Corpus of Contemporary American English (http://corpus.byu.edu/coca)
Case sensitive; with part of speech


For more information on full word frequency and n-grams lists, see:
http://www.wordfrequency.info
http://www.ngrams.info


freq	word1	
-----	-----


9190160	a	at1
1737	a	ii21
75	a	ii32
331	a	ii42
640	a	jj21
115	a	jj31
13	a	nn132
120133	a	rr21
15512	a	rr31
18	a	rr32
5634	a	rr43
519	a	rr51
530	a	rr54
370	a	to
397950	A	at1
129	A	ii21
27	A	jj21
18	A	jj31
4193	A	rr21
368	A	rr31
13	A	rr51
40	A&E	fo
3	A&J	fo
395	A&M	fo
5	A&M-Commerce	fo
16	A&M-Corpus	fo
17	A&M-Kingsville	fo
25	A&P	fo
10	A&R	fo
29	A&T	fo
4	A&W	fo
9	A&E	fo
101	A&M	fo
5	A&M.	fo
9	A&M-Corpus	fo
3	A&P	fo
8	A&R	fo
13	A&T	fo
7	a.	at1
15	A.	at1
24	a/a	at1
4	A/AA	fu
3	a/b	fu
82	a/c	fu
5	A/CONF.	fu
3	A/Cs	fu
10	a/h	fu
31	a/k/a	at1
3	a/m	fu
6	A/Medal	fu
7	A/ORDS	fu
7	a/r	fu
4	A/Razorfish	fu
3	a/so	fu
3	A/Vs	fu
6	A:B	fo
8	A:I	fo
3	A:It	fo
8	A:shiwi	fo
4	A:V	fo
8	A:wan	fo
3	A:We	fo
3	a+bx+gx	fo
21	a=	fo
8	A=	fo
3	A>	fo
4	A106A	fo
31	A-10s	mc2
4	A11B	fo
6	A123Systems	fo
3	A155A	fo
22	A1A	fo
20	A1c	fo
16	A1C	fo
8	a1-PI	jj
14	a1-PI	nn1
3	a1-proteinase	jj
3	A2/AD	nn1
3	a-2a	fo
3	a-2b	fo
4	A2E	fo
8	a2-M	jj
5	a2-M	nn1
3	a2-macroglobulin	nn1
3	A300s	fo
8	A319s	fo
17	A320s	fo
5	A330s	fo
3	A340s	fo
5	A380s	fo
3	A3D	fo
13	A3XX	fo
6	A400M	fo
14	A4M	fo
3	A-5s	mc2
5	a6710t	fo
5	A-6E	fo
7	A-6s	mc2
3	A8L	fo
4	A8V-E	np1
67	aa	nnu
5	a'a	nnu
16	aA	nnu
77	Aa	np1
1941	AA	np1
6	A-A	np1
42	AA-	nn1
25	AA.	np1
3	AA8XE	fo
18	aaa	nnu
37	Aaa	np1
1506	AAA	np1
5	AAA.	np1
3	aaaa	nnu
4	Aaaa	np1
141	AAAA	np1
3	AAAA/AAA/AA/A	fu
3	Aaaaa	np1
134	AAAAA	np1
4	A-AAAA	nn1
4	A-AAAA	np1
3	Aaaaaah	uh
3	Aaaaah	np1
5	Aaaaah	uh
4	Aaaagh	vv0
3	aaaah	nn1
5	aaaah	uh
5	Aaaah	np1
21	Aaaah	uh
3	AAAAH	uh
4	Aaaahh	nn1
4	Aaaahhh	nn1
3	Aaaahhhh	nn1
3	AAAAHHHH	nn1
4	aaaahs	nn2
7	AAAAI	np1
3	Aaaayyyyy	np1
3	AAA-Chicago	np1
10	AAAD	np1
7	aaah	nn1
7	aaah	uh
17	Aaah	np1
53	Aaah	uh
4	Aaahh	nn1
4	Aaahh	np1
8	Aaahhh	nn1
4	Aaahhh	np1
4	AAAHHH	np1
